year,type,product_type,values
2000,Total Manufacturing,Refined Petroleum Products,20096.5
2000,Total Manufacturing,Chemicals & Chemical Products,11682.1
2000,Total Manufacturing,Pharmaceutical & Biological Products,4841.5
2000,Total Manufacturing,Rubber & Plastic Products,3461.3
2000,Total Manufacturing,Non-metallic Mineral Products,1692.2
2000,Total Manufacturing,Basic Metal,503.9
2000,Total Manufacturing,Fabricated Metal Products,7510.3
2000,Total Manufacturing,"Computer, Electronic & Optical Products",86297.8
2000,Total Manufacturing,Electrical Equipment,2559.9
2000,Total Manufacturing,Machinery & Equipment,7610.1
2000,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",240.2
2000,Total Manufacturing,Other Transport Equipment,5872.2
2000,Total Manufacturing,Furniture,663.5
2000,Total Manufacturing,Other Manufacturing Industries,1769.1
2001,Total Manufacturing,"Food, Beverage & Tobacco",3821.9
2001,Total Manufacturing,Textiles,262.5
2001,Total Manufacturing,Wearing Apparel,859.7
2001,Total Manufacturing,"Leather, Leather Products & Footwear",192.9
2001,Total Manufacturing,Wood & Wood Products,255.4
2001,Total Manufacturing,Paper & Paper Products,816.7
2001,Total Manufacturing,Printing & Reproduction Of Recorded Media,2782
2001,Total Manufacturing,Refined Petroleum Products,18271.7
2001,Total Manufacturing,Chemicals & Chemical Products,11735.6
2001,Total Manufacturing,Pharmaceutical & Biological Products,5119.2
2001,Total Manufacturing,Rubber & Plastic Products,2785.2
2001,Total Manufacturing,Non-metallic Mineral Products,1311.1
2001,Total Manufacturing,Basic Metal,509
2001,Total Manufacturing,Fabricated Metal Products,6342.9
2001,Total Manufacturing,"Computer, Electronic & Optical Products",64880.2
2001,Total Manufacturing,Electrical Equipment,2172.8
2001,Total Manufacturing,Machinery & Equipment,7047.8
2001,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",195.7
2001,Total Manufacturing,Other Transport Equipment,7224.5
2001,Total Manufacturing,Furniture,600.6
2001,Total Manufacturing,Other Manufacturing Industries,1912.6
2002,Total Manufacturing,"Food, Beverage & Tobacco",4357.2
2002,Total Manufacturing,Textiles,225.6
2002,Total Manufacturing,Wearing Apparel,882.6
2002,Total Manufacturing,"Leather, Leather Products & Footwear",191.4
2002,Total Manufacturing,Wood & Wood Products,268.3
2002,Total Manufacturing,Paper & Paper Products,880.1
2002,Total Manufacturing,Printing & Reproduction Of Recorded Media,2666.5
2002,Total Manufacturing,Refined Petroleum Products,18419.6
2002,Total Manufacturing,Chemicals & Chemical Products,14292.9
2002,Total Manufacturing,Pharmaceutical & Biological Products,8063.7
2002,Total Manufacturing,Rubber & Plastic Products,2980.1
2002,Total Manufacturing,Non-metallic Mineral Products,1416.1
2002,Total Manufacturing,Basic Metal,570.7
2002,Total Manufacturing,Fabricated Metal Products,6692.9
2002,Total Manufacturing,"Computer, Electronic & Optical Products",64663.4
2002,Total Manufacturing,Electrical Equipment,2049.1
2002,Total Manufacturing,Machinery & Equipment,8059.4
2002,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",209.7
2002,Total Manufacturing,Other Transport Equipment,8114.6
2002,Total Manufacturing,Furniture,725.1
2002,Total Manufacturing,Other Manufacturing Industries,2347.5
2003,Total Manufacturing,"Food, Beverage & Tobacco",4286.2
2003,Total Manufacturing,Textiles,250.7
2003,Total Manufacturing,Wearing Apparel,859.2
2003,Total Manufacturing,"Leather, Leather Products & Footwear",208.6
2003,Total Manufacturing,Wood & Wood Products,260.1
2003,Total Manufacturing,Paper & Paper Products,891.5
2003,Total Manufacturing,Printing & Reproduction Of Recorded Media,2722.9
2003,Total Manufacturing,Refined Petroleum Products,21981.3
2003,Total Manufacturing,Chemicals & Chemical Products,18354.3
2003,Total Manufacturing,Pharmaceutical & Biological Products,10089
